epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5008,0.91506,3.47495,1.20051,0.00393,0.7881,0.24692,0.17696,0.56947,3.60986,0.94762,0.0874,0.0014,0.0014
2,147.103,0.69516,2.58784,1.04289,0.00433,0.90476,0.4122,0.37042,0.48259,3.24554,0.88459,0.0738713,0.00287129,0.00287129
3,218.819,0.64917,1.47035,0.99974,1,0.21522,0.61074,0.55069,0.54912,3.00052,0.90112,0.0603129,0.00431288,0.00431288
4,287.599,0.62267,1.08901,0.95846,1,0.22124,0.89416,0.77053,0.53992,2.79291,0.90466,0.0467248,0.00572477,0.00572477
5,359.505,0.63872,1.06917,0.95842,0.97829,0.56697,0.89793,0.80997,0.50374,2.36677,0.87777,0.033107,0.00710696,0.00710696
6,432.169,0.70914,1.07105,0.997,1,0.44922,0.89253,0.7447,0.67609,2.5163,0.96987,0.0194595,0.00845945,0.00845945
7,508.877,0.67915,1.06082,0.98469,0.91064,0.39139,0.84457,0.7448,0.54924,2.30977,0.86965,0.009406,0.009406,0.009406
8,587.176,0.73227,1.04413,1.00021,0.85206,0.65346,0.88879,0.75067,0.7185,1.91658,0.93939,0.009307,0.009307,0.009307
9,663.331,0.7166,1.03191,0.9864,0.96609,0.90476,0.90185,0.80164,0.55636,1.1386,0.87759,0.009208,0.009208,0.009208
10,737.523,0.73398,0.95053,0.97876,0.95293,0.90181,0.90218,0.8148,0.51872,0.99641,0.89485,0.009109,0.009109,0.009109
11,811.419,0.6565,0.93035,0.94975,0.97525,0.90476,0.93594,0.8096,0.57237,1.02596,0.87638,0.00901,0.00901,0.00901
12,888.507,0.67738,0.9033,0.95796,0.95455,0.90301,0.95073,0.82419,0.56202,0.95335,0.90804,0.008911,0.008911,0.008911
13,964.627,0.67865,0.90275,0.97001,0.77516,0.80097,0.89983,0.80661,0.49837,1.31612,0.87455,0.008812,0.008812,0.008812
